Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
27335463327,JOGO DE TAÇAS GRAFFIATO 370 ML COM 6 A 3 UNIDADES DE VIDRO TRANSPARENTE,"33,77",2mil+,A T E N A S,7%,"R$2,36",https://shopee.com.br/product/1265597786/27335463327,https://s.shopee.com.br/1qROLALECI
19698550432,Bálsamo labial de mel de flor de cerejeira / creme hidratante reparador bálsamo labial rachado,"7,96",3mil+,fashionmz.br,10%,"R$0,80",https://shopee.com.br/product/889221854/19698550432,https://s.shopee.com.br/1g7y8rLrXH
18553582931,Painel Honda TITAN 150 CG150 Fan esdi Ventilador150 2004-2010 2012 Medidor Digital LED De Motocicleta RPM Velocímetro,"169,00",3mil+,threesome202119.br,3%,"R$5,07",https://shopee.com.br/product/542147789/18553582931,https://s.shopee.com.br/2B4EjmJxWO
23695905948,15cm Figura De Anime Homem Aranha Através Do Versículo Ação Figurino Sofbinal Miles Morales Estátua Universo Modelo De Brinquedo Colecionável,"81,06",2mil+,bestfuture01.br,9%,"R$7,30",https://shopee.com.br/product/233663022/23695905948,https://s.shopee.com.br/20koXTKarN
19799214704,Kit 6 Taças Diamond Vidro Transparente Para Vinho Luxo Resistente 340ml,"29,98",30mil+,CLICKMMP,10%,"R$3,00",https://shopee.com.br/product/859822393/19799214704,https://s.shopee.com.br/2Vh58OIgqU
27782837760,Aeronave De Controle Remoto Recarregável Com Detecção De Helicóptero Bidirecional Pendurado Interno Brinquedos sensor an,"20,35",3mil+,Choice Oficial,13%,"R$2,65",https://shopee.com.br/product/1006215031/27782837760,https://s.shopee.com.br/2LNew5JKBT
19999647480,Kit Livro De Colorir Capa Dura 50 Páginas + Canetinhas Marca Texto 36/48/60/80,"29,99",50mil+,Mega TechStore,7%,"R$2,10",https://shopee.com.br/product/872424585/19999647480,https://s.shopee.com.br/2qJvX0HQAa
23794136158,"Labubu V1-V3 Pelúcias , Estoque Pronto! Sorriso Adorável e Perfeito para Presentes Especiais","78,20",299,Link.Shop,3%,"R$2,35",https://shopee.com.br/product/1558420782/23794136158,https://s.shopee.com.br/2g0VKhI3VZ
18629408912,Jogo Xícaras Café Chá e Pires Madeira Coração Cantinho do Café Presente Decoração Cozinha Rosa,"44,49",5mil+,Requinte Artefatos de Madeira,7%,"R$3,11",https://shopee.com.br/product/580638899/18629408912,https://s.shopee.com.br/3AwlvcG9Ug
28984592245,Extrator De Dente De Jacaré Mordida Dedo Resposta Treinador Novo Peculiar Festa Adolescente Jogo Da Sorte Brincadeira Br,"14,55",2mil+,Choice Oficial,13%,"R$1,89",https://shopee.com.br/product/1006215031/28984592245,https://s.shopee.com.br/30dLjJGmpf
22697698713,Cobre Leito Luxo Casal Kit + 2 Porta Travesseiro - invic,"29,90",7mil+,GuiBs - Casa e Decoração,7%,"R$2,09",https://shopee.com.br/product/299604942/22697698713,https://s.shopee.com.br/3VZcKEEsom
25644410358,item Colecionável Exclusivo Da Marca Labubu,"14,00",655,siyuesheng.br,7%,"R$0,98",https://shopee.com.br/product/1215760831/25644410358,https://s.shopee.com.br/3LGC7vFW9l
23693473194,Jogo De 12 Taças De Vidro Diamond Transparente 340ml,"28,90",1mil+,wevibecasa,18%,"R$5,20",https://shopee.com.br/product/1358404317/23693473194,https://s.shopee.com.br/3qCSiqDc8s
19952794031,KONG 2-Tier Spice Rack Organizador De Condimentos Cozinha Montado Na Parede Louça De Mesa Suprimentos De Armazenamento,"50,00",1mil+,Kongfu Mall,8%,"R$4,00",https://shopee.com.br/product/852326337/19952794031,https://s.shopee.com.br/3ft2WXEFTr
25071114544,Carteira Feminina Chique De Couro PU – Bolsa Longa Elegante Com Folhas Ocas Douradas Para Moedas E Cartões,"29,70",10mil+,Choice Oficial,7%,"R$2,08",https://shopee.com.br/product/1006215031/25071114544,https://s.shopee.com.br/4ApJ7SCLSy
22498327201,80/100/120/168 Cores Touch marker Caneta Marcadora Com Ponta Dupla/Pintura De Arte/Aquarela/Material Escolar/Escritório,"59,98",10mil+,Loja 128,7%,"R$4,20",https://shopee.com.br/product/974102638/22498327201,https://s.shopee.com.br/40Vsv9Cynx
23193684747,Kit 4 ou 6 Tapete De Mesa Posta Redondo Design Elegante Impermeável,"4,98",10mil+,tangshop_brasil,8%,"R$0,40",https://shopee.com.br/product/1041517511/23193684747,https://s.shopee.com.br/4VS9W4B4n4
22292792826,Refrigerador De Ar Ventilador Umidificador Portátil Com Led Reservatório De Água Led TIPO C USB,"43,99",7mil+,SABL ECOMMERCE LTDA,8%,"R$3,52",https://shopee.com.br/product/1153008100/22292792826,https://s.shopee.com.br/4L8jJlBi83
20998484602,Mop Spray Magico Esfregão Com Reservatorio Rodo De Limpeza Microfibra Refil,"42,98",4mil+,Bauler Comércio,11%,"R$4,73",https://shopee.com.br/product/995081105/20998484602,https://s.shopee.com.br/4q4zug9o7A
22593547126,Mini Impressora Térmica Portátil De Bolso Sem Fio Bluetooth,"54,90",2mil+,Banana.Store_,11%,"R$6,04",https://shopee.com.br/product/1397809275/22593547126,https://s.shopee.com.br/4flZiNARS9
